,Global_GDP,US_Industrial_Production_Index,Global_Inflation,US_CPI_Fuels,10Y_Treasury_Yield,Fed_Funds_Rate,RealGDP_PerCapita,Unemployment_rate,opec_prod,Global_Prod,Econ_Policy_Uncertainty,Global_Policy_Uncertainty,US_FinReports_Petroleum_Coal,Vol_Energy_Regulation,Vol_Elections,WTI_Futures,US Dollar Index (DXY),WTI_Spot,Brent_Spot,NaturalGas_Spot,Baltic_Clean_Tanker,Baltic_Dirty_Tanker,GSCPI_Index
2013-07-01,78822877036347.34,98.8987,2.5030819786846754,329.138,2.58,0.09,56272.0,7.3,21153.782480150003,92602.64726373334,51.459549300698114,108.35696729770208,83658.0,0.47176,0.20967,81.44999694824219,13.449999809265137,105.02999877929688,107.93,3.62,615.0,624.0,-0.64
2013-08-01,79001461823611.0,99.4897,2.478316736937826,336.346,2.74,0.08,56395.333333333336,7.2,21173.230701725,92818.78512134444,76.7128539368527,118.57976557572631,83197.33333333333,0.25779,0.25779,82.08999633789062,17.010000228881836,107.6500015258789,111.28,3.43,604.0,622.0,-0.55
2013-09-01,79180046610874.64,100.021,2.4535514951909767,338.721,2.81,0.08,56518.66666666666,7.2,21192.6789233,93034.92297895555,93.53116019249384,132.71074288082772,82736.66666666667,0.34294,0.17147,80.22000122070312,16.600000381469727,102.01499938964844,111.6,3.62,546.0,584.0,-0.27
2013-10-01,79358631398138.28,99.9037,2.428786253444128,336.807,2.62,0.09,56642.0,7.2,21212.127144875,93251.06083656668,159.4561083975777,158.69902064413617,82276.0,0.5017,0.16723,80.19999694824219,13.75,96.37999725341797,109.08,3.68,487.0,595.0,-0.18
2013-11-01,79537216185401.92,100.1582,2.4040210116972784,339.241,2.72,0.08,56543.0,6.9,21231.57536645,93467.1986941778,67.16274174659195,96.36440601588356,82847.66666666667,0.13216,0.26431,80.68000030517578,13.699999809265137,92.72000122070312,107.79,3.64,579.0,674.0,-0.68
2013-12-01,79715800972665.56,100.374,2.3792557699504293,344.229,2.9,0.09,56444.0,6.7,21251.023588025004,93683.33655178887,95.22825315679025,119.3407726123067,83419.33333333333,0.22773,0.22773,80.04000091552734,13.720000267028809,95.10499954223633,110.76,4.24,616.0,997.0,-0.49
2014-01-01,79894385759929.2,99.9899,2.35449052820358,362.119,2.86,0.07,56345.0,6.6,21270.471809600003,93899.4744094,76.31707390280305,111.03170396729928,83991.0,0.45716,0.28572,81.2699966430664,18.40999984741211,97.48999786376953,108.12,4.71,606.0,1005.0,-0.63
2014-02-01,79516491714788.64,100.7471,2.2786044169122883,381.604,2.71,0.07,56552.66666666666,6.7,21378.150915183334,94129.45452343208,44.05551530950866,98.2153242341038,84664.66666666667,0.15988,0.05329,79.77999877929688,14.0,102.58999633789062,108.9,6.0,629.0,726.0,-0.29
2014-03-01,79138597669648.1,101.7435,2.202718305620997,352.431,2.72,0.08,56760.333333333336,6.7,21485.83002076667,94359.43463746416,45.16197703077868,113.56303087898738,85338.33333333333,0.23822,0.35734,80.0999984741211,13.880000114440918,101.58000183105469,107.48,4.9,610.0,700.0,-0.62
2014-04-01,78760703624507.53,101.8273,2.126832194329705,340.56,2.71,0.09,56968.0,6.2,21593.50912635,94589.41475149624,25.73011665698256,101.7001784004452,86012.0,0.42853,0.48974,79.48999786376953,13.40999984741211,99.73999786376953,107.76,4.66,522.0,648.0,-0.81
2014-05-01,78382809579366.97,102.2392,2.0509460830384136,339.154,2.56,0.09,57157.333333333336,6.3,21701.18823193333,94819.39486552832,30.263870965489176,104.16957384700262,84717.66666666667,0.46782,0.46782,80.37000274658203,11.399999618530272,102.70999908447266,109.54,4.58,525.0,657.0,-0.82
2014-06-01,78004915534226.4,102.5774,1.9750599717471216,338.331,2.6,0.1,57346.66666666666,6.1,21808.86733751667,95049.3749795604,18.68332576554847,86.63395246202977,83423.33333333333,0.27279,0.21823,79.77999877929688,11.56999969482422,100.43999862670898,111.8,4.59,549.0,724.0,-0.68
2014-07-01,77627021489085.84,102.7954,1.89917386045583,338.806,2.54,0.09,57536.0,6.2,21916.5464431,95279.35509359246,42.36643002904143,93.18060692600912,82129.0,0.11911,0.05956,81.45999908447266,16.950000762939453,98.16999816894531,106.77,4.05,556.0,833.0,-0.81
2014-08-01,77249127443945.3,102.6322,1.8232877491645385,340.2,2.42,0.09,57591.333333333336,6.1,22024.22554868333,95509.33520762454,34.959716777078064,99.64119810687572,77586.33333333333,0.50047,0.38926,82.75,12.09000015258789,95.95999908447266,101.61,3.91,545.0,699.0,-0.62
2014-09-01,76871233398804.73,102.9417,1.7474016378732466,333.25,2.53,0.09,57646.66666666666,5.9,22131.904654266666,95739.3153216566,45.63621949611687,123.56655356956657,73043.66666666667,0.27965,0.39152,85.94000244140625,16.309999465942383,91.16000366210938,97.09,3.92,570.0,623.0,-0.82
2014-10-01,76493339353664.17,102.9611,1.6715155265819552,323.344,2.3,0.09,57702.0,5.7,22239.58375985,95969.29543568868,41.26954379968663,119.2776144965392,68501.0,0.06093,0.30463,86.87999725341797,14.029999732971191,80.54000091552734,87.43,3.78,735.0,809.0,-0.59
2014-11-01,76115445308523.62,103.5978,1.5956294152906634,317.626,2.33,0.09,57841.66666666666,5.8,22347.26286543333,96199.27554972075,32.1126884967344,114.0588766816968,65173.333333333336,0.0,0.25731,88.36000061035156,13.329999923706056,66.1500015258789,79.44,4.12,823.0,866.0,-0.97
2014-12-01,75737551263383.06,103.6151,1.5197433039993715,295.589,2.21,0.12,57981.333333333336,5.6,22454.941971016666,96429.25566375285,37.34541893242698,111.54324790851189,61845.66666666666,0.36489,0.18244,90.2699966430664,19.200000762939453,53.27000045776367,62.34,3.48,787.0,862.0,-0.39
2015-01-01,75359657218242.5,102.7923,1.44385719270808,271.328,1.88,0.11,58121.0,5.7,22562.6210766,96659.23577778492,51.936287012836495,136.20682542560965,58518.0,0.67639,0.81166,94.8000030517578,20.96999931335449,48.2400016784668,47.76,2.99,678.0,863.0,-0.5
2015-02-01,75462021654663.58,102.1366,1.4573306911609176,269.641,1.98,0.11,58206.0,5.5,22745.5320127,96696.70946328276,36.31179571259207,113.05681824484108,61143.333333333336,0.18279,0.54838,95.25,13.34000015258789,52.036668141682945,58.1,2.87,695.0,841.0,-0.31
2015-03-01,75564386091084.67,101.7869,1.4708041896137551,277.899,2.04,0.11,58291.0,5.4,22928.4429488,96734.18314878058,33.92811262574285,103.92913827623585,63768.66666666666,0.05812,0.29058,98.36000061035156,15.289999961853027,55.833334604899086,55.89,2.83,676.0,809.0,-0.38
